AGENCY 0,DATA 0,DATA TYPE 0,LOCATION 0,LOCATION TYPE 0,SOURCE 0,SOURCE TYPE 0,SUBJECT 0,TIME 0,TIME TYPE 0
National Centers for Environmental Information,76.87,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1976-09,ISO_DATE
National Centers for Environmental Information,77.08,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1967-05,ISO_DATE
National Centers for Environmental Information,77.08,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1966-08,ISO_DATE
National Centers for Environmental Information,76.1,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2019-05,ISO_DATE
National Centers for Environmental Information,79.65,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2019-10,ISO_DATE
National Centers for Environmental Information,71.84,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-01,ISO_DATE
National Centers for Environmental Information,74.27,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-05,ISO_DATE
National Centers for Environmental Information,76.97,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-08,ISO_DATE
National Centers for Environmental Information,75.27,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1984-08,ISO_DATE
National Centers for Environmental Information,73.84,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2000-05,ISO_DATE
National Centers for Environmental Information,72.53,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2004-01,ISO_DATE
National Centers for Environmental Information,75.9,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2004-05,ISO_DATE
National Centers for Environmental Information,74.13,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2016-01,ISO_DATE
National Centers for Environmental Information,75.87,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2016-10,ISO_DATE
National Centers for Environmental Information,71.42,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2011-01,ISO_DATE
National Centers for Environmental Information,75.98,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2011-08,ISO_DATE
National Centers for Environmental Information,74.68,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1958-10,ISO_DATE
National Centers for Environmental Information,72.9,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1968-01,ISO_DATE
National Centers for Environmental Information,74.4,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1969-05,ISO_DATE
National Centers for Environmental Information,72.08,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1990-01,ISO_DATE
National Centers for Environmental Information,74.23,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1985-10,ISO_DATE
National Centers for Environmental Information,74.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1952-08,ISO_DATE
National Centers for Environmental Information,76.55,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2007-09,ISO_DATE
National Centers for Environmental Information,75.5,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1975-09,ISO_DATE
National Centers for Environmental Information,74.65,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1975-10,ISO_DATE
National Centers for Environmental Information,75.77,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2021-10,ISO_DATE
National Centers for Environmental Information,76.43,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1957-09,ISO_DATE
National Centers for Environmental Information,75.77,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1957-10,ISO_DATE
National Centers for Environmental Information,75.15,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1956-08,ISO_DATE
National Centers for Environmental Information,76.29,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1973-08,ISO_DATE
National Centers for Environmental Information,79,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2020-09,ISO_DATE
National Centers for Environmental Information,78.92,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2020-10,ISO_DATE
National Centers for Environmental Information,74.83,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1970-09,ISO_DATE
National Centers for Environmental Information,72.21,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1971-05,ISO_DATE
National Centers for Environmental Information,70.82,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1991-03,ISO_DATE
National Centers for Environmental Information,71.05,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1970-03,ISO_DATE
National Centers for Environmental Information,74.76,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2016-03,ISO_DATE
National Centers for Environmental Information,71.02,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1960-03,ISO_DATE
National Centers for Environmental Information,71.83,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1956-04,ISO_DATE
National Centers for Environmental Information,75.83,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2020-04,ISO_DATE
National Centers for Environmental Information,72.37,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1965-04,ISO_DATE
National Centers for Environmental Information,73.22,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1962-04,ISO_DATE
National Centers for Environmental Information,70.05,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1952-04,ISO_DATE
National Centers for Environmental Information,72.67,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1954-04,ISO_DATE
National Centers for Environmental Information,71.53,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2001-04,ISO_DATE
National Centers for Environmental Information,71.52,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1951-04,ISO_DATE
National Centers for Environmental Information,74.42,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1980-04,ISO_DATE
National Centers for Environmental Information,73.52,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1993-04,ISO_DATE
National Centers for Environmental Information,74.97,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1957-06,ISO_DATE
National Centers for Environmental Information,74.95,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1971-06,ISO_DATE
National Centers for Environmental Information,74.23,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1958-06,ISO_DATE
National Centers for Environmental Information,74.68,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1988-06,ISO_DATE
National Centers for Environmental Information,76.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2018-06,ISO_DATE
National Centers for Environmental Information,74.85,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1961-06,ISO_DATE
National Centers for Environmental Information,74.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1983-06,ISO_DATE
National Centers for Environmental Information,76.43,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1978-06,ISO_DATE
National Centers for Environmental Information,74.35,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2012-06,ISO_DATE
National Centers for Environmental Information,76.18,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1992-06,ISO_DATE
National Centers for Environmental Information,74.15,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1979-06,ISO_DATE
National Centers for Environmental Information,75.42,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2021-11,ISO_DATE
National Centers for Environmental Information,75.4,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1973-11,ISO_DATE
National Centers for Environmental Information,75.35,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1990-11,ISO_DATE
National Centers for Environmental Information,75.58,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1966-11,ISO_DATE
National Centers for Environmental Information,74.02,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2001-11,ISO_DATE
National Centers for Environmental Information,73.85,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1981-11,ISO_DATE
National Centers for Environmental Information,74.55,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1982-11,ISO_DATE
National Centers for Environmental Information,73.3,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2009-11,ISO_DATE
National Centers for Environmental Information,74.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1997-11,ISO_DATE
National Centers for Environmental Information,71.43,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1984-02,ISO_DATE
National Centers for Environmental Information,72.47,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1955-07,ISO_DATE
National Centers for Environmental Information,74.5,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1976-07,ISO_DATE
National Centers for Environmental Information,76.11,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1981-07,ISO_DATE
National Centers for Environmental Information,77.34,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1997-07,ISO_DATE
National Centers for Environmental Information,76.69,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2008-07,ISO_DATE
National Centers for Environmental Information,73.65,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1977-12,ISO_DATE
National Centers for Environmental Information,70.48,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2007-02,ISO_DATE
National Centers for Environmental Information,76.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2022-07,ISO_DATE
National Centers for Environmental Information,75.53,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1958-07,ISO_DATE
National Centers for Environmental Information,75.18,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1965-07,ISO_DATE
National Centers for Environmental Information,75.42,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1963-07,ISO_DATE
National Centers for Environmental Information,71.39,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1989-02,ISO_DATE
National Centers for Environmental Information,70.52,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1985-02,ISO_DATE
National Centers for Environmental Information,70.09,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-02,ISO_DATE
National Centers for Environmental Information,78.52,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2018-07,ISO_DATE
National Centers for Environmental Information,71.58,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1957-12,ISO_DATE
National Centers for Environmental Information,72.42,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1990-12,ISO_DATE
National Centers for Environmental Information,71.26,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1989-12,ISO_DATE
National Centers for Environmental Information,71.63,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1985-12,ISO_DATE
National Centers for Environmental Information,72.55,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2014-12,ISO_DATE
National Centers for Environmental Information,71.63,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1960-12,ISO_DATE
National Centers for Environmental Information,72.71,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2001-12,ISO_DATE
