January - December 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-017,"Navajo County",11.22,56,-1.12,12.34
AZ-019,"Pima County",16.17,118,3.67,12.5
AZ-021,"Pinal County",15.4,109,2.88,12.52
AZ-023,"Santa Cruz County",23.33,118,4.9,18.43
AZ-025,"Yavapai County",19.92,110,3.65,16.27
AZ-027,"Yuma County",6.04,99,1.16,4.88
AR-001,"Arkansas County",53.49,82,2.46,51.03
AR-003,"Ashley County",69.38,116,16.25,53.13
AR-005,"Baxter County",62.52,125,19.14,43.38
AR-007,"Benton County",69.81,128,24.51,45.3
AR-009,"Boone County",60.67,121,17.02,43.65
AR-011,"Bradley County",68.48,116,16.41,52.07
AR-013,"Calhoun County",66.47,114,14.75,51.72
AR-015,"Carroll County",61.16,121,16.49,44.67
AR-017,"Chicot County",70.68,123,17.66,53.02
AR-019,"Clark County",66.36,117,14.72,51.64
AR-021,"Clay County",67.27,123,19.52,47.75
AR-023,"Cleburne County",62.89,118,12.91,49.98
AR-025,"Cleveland County",67.98,120,16.37,51.61
AR-027,"Columbia County",58.55,100,7.29,51.26
AR-029,"Conway County",67.23,122,18.23,49
AR-031,"Craighead County",69.67,126,21.21,48.46
AR-033,"Crawford County",71.82,123,24.12,47.7
AR-035,"Crittenden County",72.51,128,22.58,49.93
AR-037,"Cross County",72.77,126,22.44,50.33
AR-039,"Dallas County",59.87,107,8.5,51.37
AR-041,"Desha County",70.17,125,18.65,51.52
AR-043,"Drew County",69.71,119,17.04,52.67
AR-045,"Faulkner County",68.41,122,18.13,50.28
AR-047,"Franklin County",70.21,125,22.13,48.08
AR-049,"Fulton County",60.81,120,15.59,45.22
AR-051,"Garland County",62.19,108,9.58,52.61
AR-053,"Grant County",66.8,118,15.29,51.51
AR-055,"Greene County",68.64,126,20.93,47.71
AR-057,"Hempstead County",64.07,116,13.38,50.69
AR-059,"Hot Spring County",64.36,115,11.99,52.37
AR-061,"Howard County",71.28,121,19.23,52.05
AR-063,"Independence County",65.3,122,16.97,48.33
AR-065,"Izard County",62.94,121,17.22,45.72
AR-067,"Jackson County",66.48,123,17.8,48.68
AR-069,"Jefferson County",65.37,120,14.17,51.2
AR-071,"Johnson County",68.02,121,18.61,49.41
AR-073,"Lafayette County",55.38,95,5.37,50.01
AR-075,"Lawrence County",65.83,124,18.42,47.41
AR-077,"Lee County",75.67,128,24.63,51.04
AR-079,"Lincoln County",66.84,118,14.57,52.27
AR-081,"Little River County",58.05,107,9.26,48.79
AR-083,"Logan County",63.3,118,16.51,46.79
AR-085,"Lonoke County",64.99,118,14.92,50.07
AR-087,"Madison County",67.2,123,19.55,47.65
AR-089,"Marion County",60.12,123,17.17,42.95
AR-091,"Miller County",55.35,96,6.29,49.06
AR-093,"Mississippi County",69.12,127,20.62,48.5
AR-095,"Monroe County",58.68,109,8.14,50.54
AR-097,"Montgomery County",69.38,117,16.91,52.47
AR-099,"Nevada County",62.83,115,11.65,51.18
AR-101,"Newton County",70.92,125,22.73,48.19
AR-103,"Ouachita County",57.73,101,6.28,51.45
AR-105,"Perry County",62.36,116,13.39,48.97
AR-107,"Phillips County",64.95,120,13.3,51.65
AR-109,"Pike County",76.37,121,23.39,52.98
AR-111,"Poinsett County",70.81,126,21.74,49.07
AR-113,"Polk County",68.59,116,15.75,52.84
AR-115,"Pope County",63.18,118,13.84,49.34
AR-117,"Prairie County",57.52,107,7.44,50.08
AR-119,"Pulaski County",69.15,124,18.45,50.7
AR-121,"Randolph County",65.31,123,18.12,47.19
AR-123,"St. Francis County",74.07,128,23.21,50.86
AR-125,"Saline County",67.6,120,15.45,52.15
AR-127,"Scott County",66.49,120,18.14,48.35
AR-129,"Searcy County",67.26,124,20.85,46.41
AR-131,"Sebastian County",70.74,127,25.36,45.38
AR-133,"Sevier County",64.43,116,13.74,50.69
AR-135,"Sharp County",64.1,121,17.16,46.94
AR-137,"Stone County",63.96,120,16.39,47.57
AR-139,"Union County",66.91,114,14.61,52.3
AR-141,"Van Buren County",65.87,119,15.38,50.49
AR-143,"Washington County",67.16,123,20.07,47.09
AR-145,"White County",62.81,117,12.62,50.19
AR-147,"Woodruff County",62.41,117,12.53,49.88
AR-149,"Yell County",58.84,110,10.62,48.22
CA-001,"Alameda County",22.29,96,3.54,18.75
CA-003,"Alpine County",47.21,107,11.07,36.14
CA-005,"Amador County",48.65,112,13.42,35.23
CA-007,"Butte County",60.1,115,15.69,44.41
CA-009,"Calaveras County",48.25,117,13.98,34.27
CA-011,"Colusa County",32.89,119,10.89,22
CA-013,"Contra Costa County",23.29,102,4.8,18.49
CA-015,"Del Norte County",79.65,69,-0.34,79.99
CA-017,"El Dorado County",60.52,113,15.88,44.64
CA-019,"Fresno County",25.12,107,5.52,19.6
CA-021,"Glenn County",39.12,122,13.24,25.88
CA-023,"Humboldt County",71.48,92,8.09,63.39
CA-025,"Imperial County",3.76,86,0.38,3.38
CA-027,"Inyo County",10.0,120,3.76,6.24
CA-029,"Kern County",13.32,115,4.27,9.05
CA-031,"Kings County",9.69,104,2.08,7.61
CA-033,"Lake County",60.95,116,17.49,43.46
CA-035,"Lassen County",25.57,110,5.17,20.4
CA-037,"Los Angeles County",23.4,111,7.84,15.56
CA-039,"Madera County",25.3,87,2.18,23.12
CA-041,"Marin County",46.7,107,11.22,35.48
CA-043,"Mariposa County",38.06,96,5.25,32.81
CA-045,"Mendocino County",62.4,104,10.79,51.61
CA-047,"Merced County",13.85,99,2.58,11.27
CA-049,"Modoc County",21.22,107,3.15,18.07
CA-051,"Mono County",19.12,101,3.49,15.63
CA-053,"Monterey County",30.5,118,10.4,20.1
CA-055,"Napa County",43.5,117,12.4,31.1
CA-057,"Nevada County",66.92,111,16.55,50.37
CA-059,"Orange County",21.24,115,7.69,13.55
CA-061,"Placer County",61.82,113,16.05,45.77
CA-063,"Plumas County",56.14,115,14.93,41.21
CA-065,"Riverside County",12.78,114,4.29,8.49
CA-067,"Sacramento County",25.88,116,7.19,18.69
CA-069,"San Benito County",22.97,110,6.23,16.74
CA-071,"San Bernardino County",10.79,117,3.93,6.86
CA-073,"San Diego County",21.17,114,6.88,14.29
CA-075,"San Francisco County",29.56,98,5.26,24.3
CA-077,"San Joaquin County",17.6,102,3.55,14.05
CA-079,"San Luis Obispo County",23.65,112,6.49,17.16
CA-081,"San Mateo County",34.33,97,5.67,28.66
CA-083,"Santa Barbara County",26.65,112,7.81,18.84
CA-085,"Santa Clara County",32.17,116,9.06,23.11
CA-087,"Santa Cruz County",46.24,115,13.19,33.05
CA-089,"Shasta County",54.84,112,12.9,41.94
CA-091,"Sierra County",60.82,113,15.07,45.75
CA-093,"Siskiyou County",39.49,79,0.68,38.81
CA-095,"Solano County",28.79,117,9.0,19.79
CA-097,"Sonoma County",57.85,114,15.83,42.02
CA-099,"Stanislaus County",17.77,109,4.12,13.65
CA-101,"Sutter County",28.23,121,9.25,18.98
CA-103,"Tehama County",48.44,112,11.93,36.51
CA-105,"Trinity County",66.14,95,8.65,57.49
CA-107,"Tulare County",29.53,111,7.69,21.84
CA-109,"Tuolumne County",52.12,108,11.28,40.84
CA-111,"Ventura County",31.01,114,10.6,20.41
CA-113,"Yolo County",33.14,123,13.13,20.01
CA-115,"Yuba County",52.15,116,14.42,37.73
CO-001,"Adams County",16.37,84,1.2,15.17
CO-003,"Alamosa County",11.1,84,0.72,10.38
CO-005,"Arapahoe County",16.99,81,1.08,15.91
CO-007,"Archuleta County",26.04,99,2.64,23.4
CO-009,"Baca County",15.82,65,-0.15,15.97
CO-011,"Bent County",12.09,40,-1.76,13.85
CO-013,"Boulder County",20.81,78,0.73,20.08
CO-014,"Broomfield County",14.56,64,-0.17,14.73
CO-015,"Chaffee County",19.38,96,1.75,17.63
CO-017,"Cheyenne County",16.42,83,1.07,15.35
CO-019,"Clear Creek County",27.2,78,1.16,26.04
CO-021,"Conejos County",19.43,97,2.19,17.24
CO-023,"Costilla County",17.8,68,0.21,17.59
CO-025,"Crowley County",10.9,47,-1.08,11.98
CO-027,"Custer County",20.0,65,-0.47,20.47
CO-029,"Delta County",18.8,85,1.12,17.68
CO-031,"Denver County",14.52,66,-0.5,15.02
CO-033,"Dolores County",24.35,90,1.0,23.35
CO-035,"Douglas County",18.03,67,-0.21,18.24
CO-037,"Eagle County",25.1,89,1.05,24.05
CO-039,"Elbert County",17.11,74,0.54,16.57
CO-041,"El Paso County",14.99,54,-1.03,16.02
CO-043,"Fremont County",13.29,59,-0.99,14.28
CO-045,"Garfield County",24.19,92,1.66,22.53
CO-047,"Gilpin County",23.47,76,0.59,22.88
CO-049,"Grand County",23.23,84,0.84,22.39
CO-051,"Gunnison County",24.77,90,1.51,23.26
CO-053,"Hinsdale County",35.9,111,4.95,30.95
CO-055,"Huerfano County",17.82,62,-0.06,17.88
CO-057,"Jackson County",26.5,110,3.35,23.15
CO-059,"Jefferson County",18.29,74,0.1,18.19
CO-061,"Kiowa County",14.17,62,-0.04,14.21
CO-063,"Kit Carson County",15.85,51,-0.97,16.82
CO-065,"Lake County",26.9,104,2.66,24.24
CO-067,"La Plata County",24.54,85,1.11,23.43
CO-069,"Larimer County",21.45,88,1.48,19.97
CO-071,"Las Animas County",14.22,40,-2.04,16.26
CO-073,"Lincoln County",13.59,57,-0.67,14.26
CO-075,"Logan County",17.14,81,0.51,16.63
CO-077,"Mesa County",18.1,87,1.19,16.91
CO-079,"Mineral County",35.79,110,5.19,30.6
CO-081,"Moffat County",17.67,112,2.8,14.87
CO-083,"Montezuma County",18.34,93,1.16,17.18
CO-085,"Montrose County",15.92,78,0.4,15.52
CO-087,"Morgan County",15.83,86,1.31,14.52
CO-089,"Otero County",11.8,42,-1.58,13.38
CO-091,"Ouray County",22.14,70,-0.23,22.37
CO-093,"Park County",18.25,88,0.87,17.38
CO-095,"Phillips County",18.69,82,0.76,17.93
CO-097,"Pitkin County",32.26,99,3.09,29.17
CO-099,"Prowers County",13.87,46,-1.28,15.15
CO-101,"Pueblo County",13.6,70,0.04,13.56
CO-103,"Rio Blanco County",21.26,103,2.39,18.87
CO-105,"Rio Grande County",16.61,102,2.0,14.61
CO-107,"Routt County",27.99,104,2.9,25.09
CO-109,"Saguache County",17.96,92,1.32,16.64
CO-111,"San Juan County",47.67,108,5.88,41.79
CO-113,"San Miguel County",18.82,63,-0.29,19.11
CO-115,"Sedgwick County",21.76,112,3.66,18.1
CO-117,"Summit County",27.68,92,1.13,26.55
CO-119,"Teller County",18.03,54,-1.13,19.16
CO-121,"Washington County",15.22,46,-1.28,16.5
CO-123,"Weld County",16.36,102,2.51,13.85
CO-125,"Yuma County",15.62,41,-1.93,17.55
CT-001,"Fairfield County",51.56,92,3.76,47.8
CT-003,"Hartford County",54.0,104,7.49,46.51
CT-005,"Litchfield County",50.98,88,2.77,48.21
CT-007,"Middlesex County",55.41,111,8.63,46.78
CT-009,"New Haven County",54.28,104,6.76,47.52
CT-011,"New London County",56.71,119,11.03,45.68
CT-013,"Tolland County",55.56,115,9.92,45.64
CT-015,"Windham County",55.46,116,9.72,45.74
DE-001,"Kent County",37.81,23,-5.24,43.05
DE-003,"New Castle County",44.45,72,1.24,43.21
DE-005,"Sussex County",41.3,52,-2.3,43.6
FL-001,"Alachua County",52.82,65,0.27,52.55
FL-003,"Baker County",39.8,11,-11.69,51.49
FL-005,"Bay County",47.63,20,-10.82,58.45
FL-007,"Bradford County",46.42,33,-5.8,52.22
FL-009,"Brevard County",56.2,95,5.79,50.41
FL-011,"Broward County",61.36,87,4.32,57.04
FL-013,"Calhoun County",45.64,17,-12.44,58.08
FL-015,"Charlotte County",55.01,91,4.19,50.82
FL-017,"Citrus County",55.2,84,1.95,53.25
FL-019,"Clay County",46.96,36,-4.84,51.8
FL-021,"Collier County",63.78,119,11.7,52.08
FL-023,"Columbia County",44.12,24,-7.39,51.51
FL-027,"DeSoto County",51.46,59,0.15,51.31
FL-029,"Dixie County",61.14,97,7.45,53.69
FL-031,"Duval County",44.04,28,-6.14,50.18
FL-033,"Escambia County",50.54,17,-11.69,62.23
FL-035,"Flagler County",51.5,62,-0.31,51.81
FL-037,"Franklin County",45.87,16,-12.36,58.23
FL-039,"Gadsden County",39.11,5,-17.47,56.58
FL-041,"Gilchrist County",58.04,96,5.28,52.76
FL-043,"Glades County",52.1,75,1.86,50.24
FL-045,"Gulf County",48.12,19,-10.34,58.46
FL-047,"Hamilton County",40.31,17,-11.53,51.84
FL-049,"Hardee County",51.58,55,-0.85,52.43
FL-051,"Hendry County",54.75,87,2.94,51.81
FL-053,"Hernando County",57.27,93,3.82,53.45
FL-055,"Highlands County",49.56,53,-0.85,50.41
FL-057,"Hillsborough County",61.31,111,9.07,52.24
FL-059,"Holmes County",47.82,20,-9.84,57.66
FL-061,"Indian River County",52.03,71,-0.39,52.42
FL-063,"Jackson County",43.59,16,-11.09,54.68
FL-065,"Jefferson County",40.18,9,-14.9,55.08
FL-067,"Lafayette County",52.32,53,-2.07,54.39
FL-069,"Lake County",51.09,70,0.27,50.82
FL-071,"Lee County",59.03,109,9.02,50.01
FL-073,"Leon County",38.61,3,-18.65,57.26
FL-075,"Levy County",58.54,98,5.63,52.91
FL-077,"Liberty County",45.2,14,-13.61,58.81
FL-079,"Madison County",43.04,17,-10.52,53.56
FL-081,"Manatee County",52.9,66,0.41,52.49
FL-083,"Marion County",50.52,53,-2.12,52.64
FL-085,"Martin County",59.49,92,5.45,54.04
FL-086,"Miami-Dade County",53.93,52,-1.22,55.15
FL-087,"Monroe County",49.37,59,-1.47,50.84
FL-089,"Nassau County",44.82,36,-5.72,50.54
FL-091,"Okaloosa County",52.64,24,-8.03,60.67
FL-093,"Okeechobee County",50.97,66,0.25,50.72
FL-095,"Orange County",53.08,85,2.78,50.3
FL-097,"Osceola County",53.54,83,3.25,50.29
FL-099,"Palm Beach County",60.53,92,3.68,56.85
FL-101,"Pasco County",59.48,102,6.53,52.95
FL-103,"Pinellas County",61.7,114,10.21,51.49
FL-105,"Polk County",57.95,102,6.28,51.67
FL-107,"Putnam County",51.72,56,-1.37,53.09
FL-109,"St. Johns County",48.0,45,-2.94,50.94
FL-111,"St. Lucie County",55.72,82,2.99,52.73
FL-113,"Santa Rosa County",48.18,13,-13.84,62.02
FL-115,"Sarasota County",48.98,43,-3.06,52.04
FL-117,"Seminole County",53.89,90,3.46,50.43
FL-119,"Sumter County",53.68,76,1.41,52.27
FL-121,"Suwannee County",46.02,27,-7.14,53.16
FL-123,"Taylor County",48.06,28,-7.46,55.52
FL-125,"Union County",45.22,26,-6.48,51.7
FL-127,"Volusia County",56.04,96,5.2,50.84
FL-129,"Wakulla County",40.94,7,-17.24,58.18
FL-131,"Walton County",52.35,30,-7.75,60.1
FL-133,"Washington County",48.21,24,-9.1,57.31
GA-001,"Appling County",40.02,15,-7.91,47.93
GA-003,"Atkinson County",39.51,17,-9.26,48.77
GA-005,"Bacon County",37.69,9,-10.51,48.2
GA-007,"Baker County",45.3,32,-6.4,51.7
GA-009,"Baldwin County",43.44,51,-2.88,46.32
GA-011,"Banks County",53.74,66,0.96,52.78
GA-013,"Barrow County",51.06,66,0.54,50.52
GA-015,"Bartow County",50.98,68,-0.17,51.15
GA-017,"Ben Hill County",43.21,38,-4.35,47.56
GA-019,"Berrien County",41.51,24,-6.93,48.44
GA-021,"Bibb County",45.14,54,-1.2,46.34
GA-023,"Bleckley County",47.67,73,0.8,46.87
GA-025,"Brantley County",47.02,52,-2.86,49.88
GA-027,"Brooks County",41.12,16,-10.81,51.93
GA-029,"Bryan County",47.84,62,-1.05,48.89
GA-031,"Bulloch County",46.35,64,-1.13,47.48
GA-033,"Burke County",46.43,76,1.07,45.36
GA-035,"Butts County",42.24,27,-6.97,49.21
GA-037,"Calhoun County",50.65,57,-1.23,51.88
GA-039,"Camden County",47.69,49,-3.19,50.88
GA-043,"Candler County",43.92,58,-2.98,46.9
GA-045,"Carroll County",54.24,73,0.88,53.36
GA-047,"Catoosa County",57.99,92,5.1,52.89
GA-049,"Charlton County",42.05,23,-8.18,50.23
GA-051,"Chatham County",48.8,68,-0.18,48.98
GA-053,"Chattahoochee County",49.67,72,1.07,48.6
GA-055,"Chattooga County",62.24,101,7.51,54.73
GA-057,"Cherokee County",54.02,68,0.56,53.46
GA-059,"Clarke County",50.33,71,0.59,49.74
GA-061,"Clay County",46.48,34,-5.68,52.16
GA-063,"Clayton County",48.19,58,-1.75,49.94
GA-065,"Clinch County",37.14,5,-12.67,49.81
GA-067,"Cobb County",48.8,54,-2.27,51.07
GA-069,"Coffee County",39.84,19,-8.38,48.22
GA-071,"Colquitt County",42.25,20,-7.97,50.22
GA-073,"Columbia County",45.42,69,-0.48,45.9
GA-075,"Cook County",41.31,21,-8.0,49.31
GA-077,"Coweta County",51.87,72,0.75,51.12
GA-079,"Crawford County",46.73,57,-1.29,48.02
GA-081,"Crisp County",48.63,75,1.66,46.97
GA-083,"Dade County",61.38,101,7.29,54.09
GA-085,"Dawson County",64.16,90,4.94,59.22
GA-087,"Decatur County",38.16,7,-15.43,53.59
GA-089,"DeKalb County",48.75,59,-1.62,50.37
GA-091,"Dodge County",45.9,64,-1.49,47.39
GA-093,"Dooly County",47.84,69,0.72,47.12
GA-095,"Dougherty County",50.0,70,0.61,49.39
GA-097,"Douglas County",50.67,63,-1.14,51.81
GA-099,"Early County",43.53,22,-9.49,53.02
GA-101,"Echols County",38.15,9,-12.75,50.9
GA-103,"Effingham County",48.95,74,0.77,48.18
GA-105,"Elbert County",43.85,46,-4.45,48.3
GA-107,"Emanuel County",45.09,63,-1.21,46.3
GA-109,"Evans County",45.71,61,-1.74,47.45
GA-111,"Fannin County",69.59,106,9.65,59.94
GA-113,"Fayette County",49.34,64,-0.61,49.95
GA-115,"Floyd County",57.52,94,5.51,52.01
GA-117,"Forsyth County",57.73,88,4.29,53.44
GA-119,"Franklin County",48.75,58,-1.44,50.19
GA-121,"Fulton County",50.23,63,-0.58,50.81
GA-123,"Gilmer County",68.13,92,6.71,61.42
GA-125,"Glascock County",48.4,83,1.68,46.72
GA-127,"Glynn County",47.31,50,-3.4,50.71
GA-129,"Gordon County",57.73,95,5.04,52.69
GA-131,"Grady County",39.24,9,-14.58,53.82
GA-133,"Greene County",43.69,40,-4.11,47.8
GA-135,"Gwinnett County",52.13,70,1.0,51.13
GA-137,"Habersham County",66.76,79,3.26,63.5
GA-139,"Hall County",56.05,72,1.53,54.52
GA-141,"Hancock County",43.85,49,-3.18,47.03
GA-143,"Haralson County",54.31,70,1.21,53.1
GA-145,"Harris County",52.42,77,1.15,51.27
GA-147,"Hart County",47.13,55,-1.9,49.03
GA-149,"Heard County",53.78,75,0.96,52.82
GA-151,"Henry County",45.86,40,-3.98,49.84
GA-153,"Houston County",47.11,66,0.09,47.02
GA-155,"Irwin County",42.48,33,-5.13,47.61
GA-157,"Jackson County",52.08,71,1.66,50.42
GA-159,"Jasper County",40.15,21,-8.7,48.85
GA-161,"Jeff Davis County",38.17,11,-9.18,47.35
GA-163,"Jefferson County",50.71,93,4.62,46.09
GA-165,"Jenkins County",44.66,65,-1.5,46.16
GA-167,"Johnson County",47.41,75,1.14,46.27
GA-169,"Jones County",42.68,38,-4.24,46.92
GA-171,"Lamar County",47.79,60,-1.97,49.76
GA-173,"Lanier County",39.74,18,-9.85,49.59
GA-175,"Laurens County",44.62,59,-2.0,46.62
GA-177,"Lee County",51.38,78,2.74,48.64
GA-179,"Liberty County",46.94,53,-2.2,49.14
GA-181,"Lincoln County",42.43,44,-4.55,46.98
GA-183,"Long County",46.13,45,-2.77,48.9
GA-185,"Lowndes County",40.01,14,-10.81,50.82
GA-187,"Lumpkin County",72.13,107,9.63,62.5
GA-189,"McDuffie County",44.49,54,-2.32,46.81
GA-191,"McIntosh County",47.69,55,-2.52,50.21
GA-193,"Macon County",46.05,55,-1.98,48.03
GA-195,"Madison County",51.65,80,2.13,49.52
GA-197,"Marion County",51.28,74,1.89,49.39
GA-199,"Meriwether County",55.24,91,4.24,51
GA-201,"Miller County",41.1,14,-12.1,53.2
GA-205,"Mitchell County",43.4,23,-7.33,50.73
GA-207,"Monroe County",44.0,39,-4.37,48.37
GA-209,"Montgomery County",37.99,15,-8.44,46.43
GA-211,"Morgan County",43.4,36,-5.53,48.93
GA-213,"Murray County",66.95,112,10.81,56.14
GA-215,"Muscogee County",49.99,70,0.47,49.52
GA-217,"Newton County",42.91,28,-6.94,49.85
GA-219,"Oconee County",49.35,63,-0.32,49.67
GA-221,"Oglethorpe County",45.81,50,-2.69,48.5
GA-223,"Paulding County",48.88,57,-2.46,51.34
GA-225,"Peach County",46.15,57,-1.06,47.21
GA-227,"Pickens County",59.14,73,1.66,57.48
GA-229,"Pierce County",42.45,31,-6.29,48.74
GA-231,"Pike County",52.68,86,2.55,50.13
GA-233,"Polk County",52.35,75,1.24,51.11
GA-235,"Pulaski County",48.03,73,1.2,46.83
GA-237,"Putnam County",39.91,24,-7.57,47.48
GA-239,"Quitman County",45.9,42,-4.68,50.58
GA-241,"Rabun County",77.09,101,7.92,69.17
GA-243,"Randolph County",52.13,68,1.04,51.09
GA-245,"Richmond County",46.71,87,1.91,44.8
GA-247,"Rockdale County",46.2,42,-4.05,50.25
GA-249,"Schley County",50.3,73,1.32,48.98
GA-251,"Screven County",44.38,57,-2.15,46.53
GA-253,"Seminole County",39.23,10,-14.15,53.38
GA-255,"Spalding County",48.07,58,-1.53,49.6
GA-257,"Stephens County",54.12,60,-1.53,55.65
GA-259,"Stewart County",50.17,67,1.02,49.15
GA-261,"Sumter County",51.39,80,2.83,48.56
GA-263,"Talbot County",52.58,77,2.07,50.51
GA-265,"Taliaferro County",41.73,33,-6.09,47.82
GA-267,"Tattnall County",43.65,45,-3.79,47.44
GA-269,"Taylor County",48.32,61,-0.83,49.15
GA-271,"Telfair County",41.62,30,-5.74,47.36
GA-273,"Terrell County",54.02,88,3.93,50.09
GA-275,"Thomas County",40.64,13,-12.43,53.07
GA-277,"Tift County",42.28,27,-5.89,48.17
GA-279,"Toombs County",39.59,17,-7.27,46.86
GA-281,"Towns County",73.93,111,11.16,62.77
GA-283,"Treutlen County",40.72,29,-5.68,46.4
GA-285,"Troup County",53.17,77,1.51,51.66
GA-287,"Turner County",46.06,60,-1.64,47.7
GA-289,"Twiggs County",46.8,71,0.3,46.5
GA-291,"Union County",71.97,112,11.22,60.75
GA-293,"Upson County",52.61,83,2.6,50.01
GA-295,"Walker County",56.31,79,2.55,53.76
GA-297,"Walton County",47.86,45,-2.49,50.35
GA-299,"Ware County",38.69,10,-10.43,49.12
GA-301,"Warren County",44.67,54,-2.61,47.28
GA-303,"Washington County",47.05,75,0.84,46.21
GA-305,"Wayne County",46.0,44,-3.4,49.4
GA-307,"Webster County",53.14,84,3.6,49.54
GA-309,"Wheeler County",39.51,23,-7.14,46.65
GA-311,"White County",73.04,106,9.22,63.82
GA-313,"Whitfield County",60.41,97,6.87,53.54
GA-315,"Wilcox County",46.92,65,-0.31,47.23
GA-317,"Wilkes County",41.14,32,-6.69,47.83
GA-319,"Wilkinson County",45.74,69,-0.44,46.18
GA-321,"Worth County",46.23,51,-2.1,48.33
ID-001,"Ada County",13.94,95,1.61,12.33
ID-003,"Adams County",33.17,80,0.75,32.42
ID-005,"Bannock County",21.41,93,1.91,19.5
ID-007,"Bear Lake County",25.53,105,4.12,21.41
ID-009,"Benewah County",27.35,31,-3.95,31.3
